,Date/Time - Peak Brightness (UT),Latitude (Deg),Longitude (Deg),Altitude (km),Velocity (km/s),Velocity Components (km/s): vx,Velocity Components (km/s): vy,Velocity Components (km/s): vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
50,05/08/2014 07:42:37 PM,36.9S,87.3E,35.0,25.0,-2.0,-16.0,10.0,1050000000000.0,2.0
51,04/21/2013 06:23:12 AM,28.1S,64.6W,41.0,18.0,5.0,14.0,1.0,1070000000000.0,2.0
52,12/13/2014 02:53:52 AM,86.7N,162.1W,31.0,20.0,15.0,-13.0,-8.0,44000000000.0,0.0
53,09/09/2014 06:55:46 PM,3.2N,137.2E,32.0,21.0,1.0,-3.0,-1.0,28000000000.0,0.0
54,11/26/2014 11:16:51 PM,69.5S,179.7W,23.0,10.0,21.0,2.0,13.0,118000000000.0,0.0
55,03/08/2015 04:26:28 AM,39.1S,118.6W,32.0,21.0,1.0,-3.0,-2.0,20000000000.0,0.0
56,01/02/2015 01:39:19 PM,31.1S,140.0E,38.0,26.0,4.0,-14.0,-10.0,20000000000.0,0.0
57,03/11/2015 06:18:59 AM,8.0N,119.1E,35.0,25.0,6.0,-10.0,-16.0,72000000000.0,0.0
58,06/26/2014 05:54:41 AM,71.5S,93.4E,28.0,16.0,7.0,3.0,8.0,61000000000.0,0.0
59,10/06/2014 08:02:15 PM,43.7S,85.7E,32.0,21.0,1.0,-3.0,-1.0,39000000000.0,0.0
60,01/12/2014 04:00:48 PM,2.9N,64.4E,37.0,27.0,-5.0,-15.0,3.0,78000000000.0,0.0
61,11/28/2014 11:47:18 AM,45.8S,172.7W,26.0,18.0,0.0,-1.0,13.0,700000000000.0,2.0
62,10/14/2014 10:25:03 AM,2.0S,119.2E,27.0,17.0,15.0,-7.0,-4.0,29000000000.0,0.0
63,05/29/2014 01:12:36 AM,21.9N,131.1W,29.0,20.0,1.0,-3.0,-2.0,58000000000.0,0.0
64,02/07/2013 01:12:24 PM,18.8S,158.6W,32.0,21.0,1.0,-3.0,-1.0,65000000000.0,0.0
65,05/14/2013 11:20:21 PM,3.0S,76.4E,32.0,21.0,1.0,-3.0,-2.0,20000000000.0,0.0
66,10/03/2012 10:50:12 PM,41.5S,21.9W,32.0,18.0,-2.0,6.0,16.0,280000000000.0,1.0
67,12/30/2012 07:25:35 AM,17.3N,83.6W,32.0,21.0,1.0,-3.0,-1.0,198000000000.0,1.0
68,03/18/2015 12:04:50 AM,5.4S,159.3E,50.0,26.0,1.0,-3.0,-0.0,121000000000.0,0.0
69,10/02/2012 04:38:38 PM,8.1S,111.9W,35.0,17.0,1.0,15.0,1.0,470000000000.0,1.0
70,09/28/2012 05:44:12 AM,6.9S,73.7E,32.0,21.0,1.0,-3.0,-1.0,38000000000.0,0.0
71,05/25/2012 11:31:24 AM,41.8S,36.2W,32.0,21.0,1.0,-3.0,-1.0,60000000000.0,0.0
72,11/20/2012 08:37:31 PM,2.5N,29.6E,33.0,25.0,-12.0,-5.0,5.0,25000000000.0,0.0
73,11/20/2012 06:25:11 AM,8.0S,86.0W,32.0,21.0,1.0,-3.0,-1.0,120000000000.0,0.0
74,10/19/2012 04:26:22 PM,75.4S,49.6E,29.0,20.0,-2.0,-4.0,12.0,23000000000.0,0.0
75,03/30/2015 09:33:52 PM,36.1S,5.5W,33.0,25.0,-14.0,-2.0,1.0,64000000000.0,0.0
76,10/09/2012 12:54:55 AM,51.2N,84.6W,28.0,15.0,3.0,12.0,5.0,210000000000.0,1.0
