,Object,Epoch (TDB),TP (TDB),e,i (deg),w (deg),Node (deg),q (AU),Q (AU),P (yr),MOID (AU),A1 (AU/d^2),A2 (AU/d^2),A3 (AU/d^2),DT (d),ref,Object_name
114,217P/LINEAR,54831.0,2455083.48,0.6896427559999999,12.88188017,246.7754682,125.6220203,1.223482234,6.66,7.83,0.306437,0.306437,0.306437,0.306437,0.306437,113,217P/LINEAR
115,222P/LINEAR,54553.0,2455075.7,0.7267693964,5.14614339,345.42488560000004,7.132384188,0.7807614948999999,4.93,4.83,0.062285,0.062285,0.062285,0.062285,0.062285,31,222P/LINEAR
116,225P/LINEAR,52717.0,2452555.598,0.6637644632999999,20.70960946,1.329461349,15.49778451,1.192065517,5.9,6.68,0.194983,0.194983,0.194983,0.194983,0.194983,42,225P/LINEAR
117,249P/LINEAR,54112.0,2453976.035,0.8161483931,8.4340952,64.04057029,240.64608629999998,0.5105855707,5.04,4.63,0.052649,0.052649,0.052649,0.052649,0.052649,21,249P/LINEAR
118,252P/LINEAR,52306.0,2451613.458,0.6724112481,10.38105211,343.28268189999994,190.9962851,1.001368431,5.11,5.34,0.017388999999999998,0.017388999999999998,0.017388999999999998,0.017388999999999998,0.017388999999999998,25,252P/LINEAR
119,255P/Levy,56981.0,2457876.215,0.6681889017,18.26659348,179.6923294,279.7300367,1.00817764,5.07,5.3,0.024516999999999997,7.33e-09,-4.15e-09,-4.15e-09,-4.15e-09,37,255P/Levy
120,262P/McNaught-Russell,55913.0,2456265.9590000003,0.8154028826,29.07941912,171.1690206,218.0142884,1.280276583,12.59,18.27,0.291456,0.291456,0.291456,0.291456,0.291456,39,262P/McNaught-Russell
121,263P/Gibbs,54246.0,2454098.266,0.5869803961,14.471176500000002,26.31548584,113.35085759999998,1.251302076,4.81,5.27,0.284398,0.284398,0.284398,0.284398,0.284398,15,263P/Gibbs
122,273P/Pons-Gambart,56799.0,2456281.057,0.9750961431999999,136.3989719,20.18419247,320.4310688,0.8104310477,64.27,185.64,0.171765,7.6e-11,8.859999999999999e-10,8.859999999999999e-10,8.859999999999999e-10,9,273P/Pons-Gambart
123,289P/Blanpain,53393.0,2452985.145,0.6757685739,5.931685399,9.066912825,69.33306667,0.9986827792,5.16,5.41,0.016462,0.0082309996145,-7.71e-10,-7.71e-10,-7.71e-10,4,289P/Blanpain
